ObjectID,Source,Group,Subgroup,Title,Category,CategoriesWrapped,StartDate,EndDate,LocationName,Address,Latitude,Longitude,Borough,URL,MinAge,MaxAge,Image,Icon
1,bkpl,bkpl,bkpl_games,The Cycle Alliance's Period Pantry at Brooklyn Heights!,games,",games,",2026-05-27T10:00:00-04:00,,Brooklyn Heights Library,"286 Cadman Plaza West Brooklyn, NY 11201",40.6956458,-73.9912976,,https://www.bklynlibrary.org/node/800302,13,,,games
2,bkpl,bkpl,bkpl_games,Kids Tech Time,games,",games,",2026-05-27T15:00:00-04:00,,Rugby Library,"1000 Utica Ave. Brooklyn, NY 11203",40.6486576,-73.9303793,,https://www.bklynlibrary.org/node/812762,5,12,,games
3,bkpl,bkpl,bkpl_games,Kids Game On!,games,",games,",2026-05-27T15:30:00-04:00,,Flatbush Library,"22 Linden Blvd. at Flatbush Ave. Brooklyn, NY 11226",40.651891,-73.958256,,https://www.bklynlibrary.org/node/819319,5,12,,games
4,bkpl,bkpl,bkpl_games,All Ages Gaming,games,",games,",2026-05-27T15:30:00-04:00,,Clarendon Library,"2035 Nostrand Ave. Brooklyn, NY 11210",40.6357589,-73.9476006,,https://www.bklynlibrary.org/node/807235,13,,,games
5,bkpl,bkpl,bkpl_games,Teen Tech Time : Video-Games for Teens,games,",games,",2026-05-27T15:30:00-04:00,,Stone Avenue Library,"581 Mother Gaston Boulevard Brooklyn, NY 11212",40.6644418,-73.9052563,,https://www.bklynlibrary.org/node/825664,13,,,games
6,bkpl,bkpl,bkpl_games,Teen Tech Time @ Windsor Terrace,games,",games,",2026-05-27T15:30:00-04:00,,Windsor Terrace Library,"160 E. 5th St. at Ft. Hamilton Pkwy. Brooklyn, NY 11218",40.648719,-73.976714,,https://www.bklynlibrary.org/node/813004,13,,,games
7,bkpl,bkpl,bkpl_games,Teen Tech Time,games,",games,",2026-05-27T15:30:00-04:00,,Kensington Library,"4207 18th Avenue Brooklyn, NY 11218",40.6312851,-73.9754571,,https://www.bklynlibrary.org/node/802992,13,,,games
8,bkpl,bkpl,bkpl_games,Kids & Teen Time at New Hope Family Worship Center,"games,arts-and-crafts",",games,arts-and-crafts,",2026-05-27T15:30:00-04:00,,New Lots Library,"665 New Lots Avenue at Barbey St. Brooklyn, NY 11207",40.6651154,-73.8861478,,https://www.bklynlibrary.org/node/823352,13,,,games
9,bkpl,bkpl,bkpl_games,Chess Workshop,games,",games,",2026-05-27T15:30:00-04:00,,Brooklyn Heights Library,"286 Cadman Plaza West Brooklyn, NY 11201",40.6956458,-73.9912976,,https://www.bklynlibrary.org/node/803855,5,12,,games
10,bkpl,bkpl,bkpl_games,Tech Time for all ages at the Kings Bay Library,games,",games,",2026-05-27T16:00:00-04:00,,Kings Bay Library,"3650 Nostrand Ave. (near Ave. W) Brooklyn, NY 11229",40.5947871,-73.9411462,,https://www.bklynlibrary.org/node/824184,13,,,games
11,bkpl,bkpl,bkpl_games,Teen Time:  Henna with Friends,"games,arts-and-crafts",",games,arts-and-crafts,",2026-05-27T16:00:00-04:00,,Brooklyn Heights Library,"286 Cadman Plaza West Brooklyn, NY 11201",40.6956458,-73.9912976,,https://www.bklynlibrary.org/node/825420,13,,,games
12,bkpl,bkpl,bkpl_games,Chess Workshop @ Jamaica Bay,games,",games,",2026-05-27T16:00:00-04:00,,Jamaica Bay Library,"9727 Seaview Ave. at E. 98th St. near Rockaway Pkwy. Brooklyn, NY 11236",40.634485,-73.889271,,https://www.bklynlibrary.org/node/807591,5,12,,games
13,bkpl,bkpl,bkpl_games,Teen Time: Sensory-Friendly Slime!,"games,arts-and-crafts",",games,arts-and-crafts,",2026-05-27T16:00:00-04:00,,McKinley Park Library,"6802 Fort Hamilton Pkwy (at 68th St.) Brooklyn, NY 11219",40.629178,-74.01188,,https://www.bklynlibrary.org/node/814193,13,,,games
14,bkpl,bkpl,bkpl_games,The Cycle Alliance's Period Pantry at Brooklyn Heights!,games,",games,",2026-05-28T10:00:00-04:00,,Brooklyn Heights Library,"286 Cadman Plaza West Brooklyn, NY 11201",40.6956458,-73.9912976,,https://www.bklynlibrary.org/node/800345,13,,,games
15,bkpl,bkpl,bkpl_games,Kids Game On,games,",games,",2026-05-28T14:00:00-04:00,,Fort Hamilton Library,"9424 Fourth Ave. Brooklyn, NY 11209",40.6163806,-74.0313434,,https://www.bklynlibrary.org/node/810349,5,12,,games
16,bkpl,bkpl,bkpl_games,Game On: Board Games,games,",games,",2026-05-28T14:30:00-04:00,,Dyker Library,"8202 13th Ave. (@ 82nd St.) Brooklyn, NY 11228",40.616348,-74.011972,,https://www.bklynlibrary.org/node/824080,13,,,games
17,bkpl,bkpl,bkpl_games,Kids Game On,games,",games,",2026-05-28T14:30:00-04:00,,Fort Hamilton Library,"9424 Fourth Ave. Brooklyn, NY 11209",40.6163806,-74.0313434,,https://www.bklynlibrary.org/node/810374,5,12,,games
18,bkpl,bkpl,bkpl_games,Game On!: Board Games,games,",games,",2026-05-28T15:00:00-04:00,,Gerritsen Beach Library,"2808 Gerritsen Ave. Brooklyn, NY 11229",40.5913977,-73.9239955,,https://www.bklynlibrary.org/node/821972,5,12,,games
19,bkpl,bkpl,bkpl_games,"Teen Fun Time: Games, Conversations & Good Vibes",games,",games,",2026-05-28T15:00:00-04:00,,Sheepshead Bay Library,"2636 E. 14th St. at Ave. Z Brooklyn, NY 11235",40.5869651,-73.9554071,,https://www.bklynlibrary.org/node/822373,13,,,games
20,bkpl,bkpl,bkpl_games,Game On,games,",games,",2026-05-28T15:30:00-04:00,,New Utrecht Library,"1743 86th St. at Bay 17th St. Brooklyn, NY 11214",40.6080187,-74.0033411,,https://www.bklynlibrary.org/node/822074,5,12,,games
21,bkpl,bkpl,bkpl_games,Teen T'ings...'Play Games and Chill',games,",games,",2026-05-28T15:30:00-04:00,,Flatbush Library,"22 Linden Blvd. at Flatbush Ave. Brooklyn, NY 11226",40.651891,-73.958256,,https://www.bklynlibrary.org/node/822024,13,,,games
22,bkpl,bkpl,bkpl_games,VR @ BPL,games,",games,",2026-05-28T15:30:00-04:00,,Windsor Terrace Library,"160 E. 5th St. at Ft. Hamilton Pkwy. Brooklyn, NY 11218",40.648719,-73.976714,,https://www.bklynlibrary.org/node/818523,13,,,games
23,bkpl,bkpl,bkpl_games,Teen Chess Club,games,",games,",2026-05-28T15:30:00-04:00,,Brighton Beach Library,"16 Brighton First Rd. at Brighton Beach Ave. Brooklyn, NY 11235",40.5761784,-73.9667995,,https://www.bklynlibrary.org/node/816586,13,,,games
24,bkpl,bkpl,bkpl_games,Gaming for Teens,games,",games,",2026-05-28T16:00:00-04:00,,Cypress Hills Library,"1197 Sutter Ave. at Crystal St. Brooklyn, NY 11208",40.6726465,-73.8740892,,https://www.bklynlibrary.org/node/823614,13,,,games
25,bkpl,bkpl,bkpl_games,Teen Tech Time,games,",games,",2026-05-28T16:00:00-04:00,,Crown Heights Library,"560 New York Ave. at Maple St. Brooklyn, NY 11225",40.6611981,-73.9481517,,https://www.bklynlibrary.org/node/810853,13,,,games
26,bkpl,bkpl,bkpl_games,Teen Tech Time,games,",games,",2026-05-28T16:00:00-04:00,,Coney Island Library,"1901 Mermaid Ave. (Near W. 19th St.) Brooklyn, NY 11224",40.5767651,-73.9860791,,https://www.bklynlibrary.org/node/814621,13,,,games
27,bkpl,bkpl,bkpl_games,Teen Tech Time,games,",games,",2026-05-28T16:00:00-04:00,,Park Slope Library,"431 6th Ave Brooklyn, NY 11215",40.6682174,-73.9834162,,https://www.bklynlibrary.org/node/823920,13,,,games
28,bkpl,bkpl,bkpl_games,Chess with Vladimir Mazo,games,",games,",2026-05-28T16:00:00-04:00,,Sheepshead Bay Library,"2636 E. 14th St. at Ave. Z Brooklyn, NY 11235",40.5869651,-73.9554071,,https://www.bklynlibrary.org/node/822378,5,12,,games
29,bkpl,bkpl,bkpl_games,Teen Tech Time @ East Flatbush Library,games,",games,",2026-05-28T16:30:00-04:00,,East Flatbush Library,"9612 Church Ave Brooklyn, NY 11212",40.6556496,-73.9150768,,https://www.bklynlibrary.org/node/824040,13,,,games
30,bkpl,bkpl,bkpl_games,Teen Tech Time,games,",games,",2026-05-28T16:30:00-04:00,,Marcy Library,"617 DeKalb Ave. at Nostrand Ave. Brooklyn, NY 11216",40.6916309,-73.9512645,,https://www.bklynlibrary.org/node/816681,13,,,games
31,bkpl,bkpl,bkpl_games,NBA 2K26,games,",games,",2026-05-28T16:30:00-04:00,,Central Library,"10 Grand Army Plaza Brooklyn, NY 11238",40.6725011,-73.9681265,,https://www.bklynlibrary.org/node/820653,13,,,games
32,bkpl,bkpl,bkpl_games,The Cycle Alliance's Period Pantry at Brooklyn Heights!,games,",games,",2026-05-29T10:00:00-04:00,,Brooklyn Heights Library,"286 Cadman Plaza West Brooklyn, NY 11201",40.6956458,-73.9912976,,https://www.bklynlibrary.org/node/800303,13,,,games
33,bkpl,bkpl,bkpl_games,Game On: Board Games,games,",games,",2026-05-29T14:30:00-04:00,,Dyker Library,"8202 13th Ave. (@ 82nd St.) Brooklyn, NY 11228",40.616348,-74.011972,,https://www.bklynlibrary.org/node/824081,13,,,games
34,bkpl,bkpl,bkpl_games,Game On,games,",games,",2026-05-29T15:00:00-04:00,,Cortelyou Library,"1305 Cortelyou Rd. at Argyle Rd. Brooklyn, NY 11226",40.640844,-73.965968,,https://www.bklynlibrary.org/node/826581,5,12,,games
35,bkpl,bkpl,bkpl_games,Kids Game On,games,",games,",2026-05-29T15:00:00-04:00,,DeKalb Library,"790 Bushwick Ave. at DeKalb Ave. Brooklyn, NY 11221",40.6947857,-73.9284044,,https://www.bklynlibrary.org/node/823780,5,12,,games
36,bkpl,bkpl,bkpl_games,Teen Tech Time,games,",games,",2026-05-29T15:00:00-04:00,,Ryder Library,"5902 23rd Ave. Brooklyn, NY 11204",40.6159251,-73.9759804,,https://www.bklynlibrary.org/node/822235,13,,,games
